ダウンロードした時刻：2025/04/21 18:39:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2024,2,22,9.9,8,1,5.5,8,11,8,1,3.7,8,0,8,1,3.4,8,7.7,8,1,10,8,5.1,8,1,0.8,8
2024,2,23,9.9,8,1,5.6,8,4.5,8,1,3.7,8,0,8,1,3.5,8,6.4,8,1,10.1,8,3.1,8,1,0.8,8
2024,2,24,9.9,8,1,5.7,8,0,8,1,3.7,8,1.6,8,1,3.5,8,7.9,8,1,10.2,8,2.9,8,1,0.9,8
2024,2,25,9.9,8,1,5.8,8,1.5,8,1,3.7,8,3.2,8,1,3.6,8,10.9,8,1,10.4,8,3,8,1,1,8
2024,2,26,9.9,8,1,5.9,8,4.5,8,1,3.8,8,1.1,8,1,3.6,8,9.2,8,1,10.5,8,3.9,8,1,1,8
2024,2,27,9.9,8,1,6,8,0,8,1,3.8,8,1.2,8,1,3.6,8,8.9,8,1,10.6,8,3.6,8,1,1.1,8
2024,2,28,9.9,8,1,6.1,8,0,8,1,3.9,8,6.5,8,1,3.7,8,10.7,8,1,10.7,8,1.9,8,1,1.2,8
2024,2,29,9.9,8,1,6.2,8,17.5,8,1,3.9,8,0,8,1,3.7,8,7.4,8,1,10.8,8,2.7,8,1,1.3,8
2024,3,1,10,8,1,6.2,8,3.5,8,1,3.9,8,0.7,8,1,3.7,8,10.6,8,1,10.8,8,1,8,1,1.3,8
2024,3,2,10,8,1,6.3,8,0.5,8,1,3.9,8,3.5,8,1,3.8,8,5.4,8,1,10.9,8,-0.4,8,1,1.4,8
2024,3,3,10,8,1,6.4,8,1.5,8,1,3.9,8,3.7,8,1,3.8,8,10.8,8,1,11,8,2.1,8,1,1.5,8
2024,3,4,10,8,1,6.5,8,0,8,1,3.9,8,6.7,8,1,3.9,8,13.2,8,1,11.1,8,6,8,1,1.6,8
2024,3,5,10,8,1,6.6,8,29,8,1,3.9,8,0,8,1,3.9,8,7.3,8,1,11.2,8,5.5,8,1,1.7,8
